collection_date,origin,destination,observations,average_fare,base_average_fare,route_index,weight
2026-09-10,DEL,BOM,350,8563.85,8563.85,100.0,0.16666666666666666
2026-09-10,DEL,BLR,755,16156.83,16156.83,100.0,0.16666666666666666
2026-09-10,BOM,BLR,449,11006.52,11006.52,100.0,0.16666666666666666
2026-09-10,DEL,CCU,244,12334.42,12334.42,100.0,0.16666666666666666
2026-09-10,BLR,HYD,410,14870.1,14870.1,100.0,0.16666666666666666
2026-09-10,MAA,DEL,202,13573.13,13573.13,100.0,0.16666666666666666
